cep qtde
291 9795
130 8394
690 7628
134 7112
132 7094
790 5723
749 5102
892 5091
728 4948
122 4720
384 4520
580 4286
180 4193
650 4115
133 4101
860 4016
780 3949
170 3930
131 3921
140 3775
230 3730
590 3615
85  3541
880 3459
71  3410
723 3377
890 3362
129 3333
570 3284
858 3280
608 3255
640 3190
351 3168
744 3128
138 3021
67  2888
244 2878
547 2854
48  2822
360 2806
227 2722
770 2703
440 2669
403 2658
150 2616
722 2611
394 2609
148 2608
789 2608
290 2606
781 2602
182 2591
950 2563
883 2545
380 2529
135 2506
263 2493
743 2473
144 2437
840 2422
247 2414
660 2411
260 2410
490 2409
261 2394
607 2325
591 2318
603 2304
550 2291
136 2278
190 2256
881 2203
120 2176
272 2149
563 2136
581 2127
68  2117
534 2111
175 2103
412 2055
160 2044
86  2035
326 2035
402 2033
235 2021
357 2006
123 1990
66  1965
186 1946
870 1926
355 1920
63  1886
255 1880
70  1869
350 1865
359 1840
98  1838
293 1835
265 1786
666 1782
87  1750
147 1734
250 1687
280 1685
888 1681
356 1659
58  1655
377 1653
181 1652
520 1623
917 1611
84  1610
252 1606
725 1596
22  1581
82  1564
668 1563
91  1558
114 1555
750 1552
543 1551
746 1551
259 1547
139 1546
507 1529
748 1527
787 1526
751 1525
778 1514
80  1505
93  1485
605 1478
456 1465
306 1456
596 1453
885 1451
23  1449
99  1449
671 1447
262 1437
39  1411
44  1405
521 1404
110 1401
116 1401
117 1396
210 1396
273 1379
601 1378
387 1377
975 1376
41  1369
413 1369
685 1367
990 1345
556 1343
745 1339
830 1332
834 1326
898 1325
320 1322
833 1322
542 1313
72  1310
124 1310
256 1306
279 1289
850 1287
791 1274
404 1265
370 1264
125 1262
218 1260
706 1260
64  1259
65  1248
172 1245
693 1236
81  1235
616 1222
55  1214
94  1210
363 1201
338 1177
362 1176
57  1174
46  1168
199 1165
944 1164
43  1154
721 1154
604 1147
162 1145
158 1142
97  1141
707 1137
51  1136
35  1128
264 1125
932 1123
970 1123
726 1121
868 1121
238 1120
305 1119
217 1114
716 1114
315 1113
187 1104
710 1101
960 1090
29  1086
28  1085
339 1084
36  1078
83  1068
32  1065
292 1064
53  1061
78  1061
61  1059
544 1057
33  1056
47  1047
758 1035
573 1030
962 1029
207 1025
687 1007
213 1005
930 1005
113 1004
42  1002
286 996
62  991
948 989
798 983
60  975
398 970
40  966
31  965
49  959
689 948
79  944
243 943
381 941
164 930
216 928
219 927
331 923
407 920
297 919
747 913
703 912
759 906
92  905
715 895
198 889
670 887
379 886
275 880
215 878
941 878
317 874
774 871
859 871
319 870
321 869
532 865
699 865
757 864
738 862
24  861
45  857
755 851
656 850
308 846
541 846
302 843
212 840
940 840
867 830
964 830
411 828
835 828
56  826
619 821
887 814
583 811
322 807
383 797
875 794
34  793
513 789
535 785
949 785
209 777
375 776
419 774
90  773
531 760
417 757
837 757
680 748
50  745
935 745
861 738
733 737
836 736
176 730
241 729
345 728
933 727
708 726
303 725
54  723
325 723
38  719
796 718
842 718
20  711
127 709
702 704
257 703
95  702
968 702
911 701
552 683
202 679
52  678
289 677
184 675
25  674
330 673
126 671
630 670
37  669
141 669
737 669
367 668
21  665
506 663
730 663
509 662
536 661
856 657
459 650
512 648
545 647
258 645
912 643
522 642
873 642
312 641
832 637
318 636
416 636
500 632
718 631
271 630
428 622
30  621
205 617
915 616
815 614
812 613
908 610
316 607
819 606
620 604
450 592
669 585
717 576
155 575
137 573
988 572
452 571
530 571
661 566
159 561
855 558
980 558
304 557
311 557
600 556
96  553
183 549
489 548
965 544
353 541
659 536
565 535
793 532
323 528
724 528
877 526
313 523
871 521
511 520
400 518
508 518
642 515
533 513
684 506
169 499
27  493
818 491
299 486
841 476
931 475
686 473
310 460
814 460
115 457
587 456
354 449
727 444
458 442
740 442
813 439
576 437
588 426
510 423
486 415
26  414
224 412
914 410
902 408
951 407
683 404
15  401
14  398
12  397
631 397
307 392
242 381
913 379
415 376
480 373
401 370
226 369
478 368
920 362
900 358
742 354
825 354
829 354
934 351
826 350
719 348
222 347
821 347
820 338
569 335
906 331
810 329
923 328
691 320
558 316
200 310
853 309
11  308
817 301
828 301
240 299
540 299
800 296
802 291
88  290
501 284
408 282
445 276
919 264
438 263
910 263
823 262
924 260
418 247
301 246
720 245
811 231
904 227
13  219
10  209
807 207
681 204
805 197
827 185
822 182
741 180
921 166
971 162
274 159
905 157
803 155
816 152
347 140
711 140
824 138
220 133
945 132
806 131
901 122
808 115
804 111
191 108
346 105
712 94
922 93
851 70
203 64
627 56
652 52
395 50
636 49
635 48
523 47
622 47
628 47
414 46
896 46
626 45
352 44
397 42
374 41
396 41
368 40
595 40
621 40
891 40
957 40
393 39
589 39
657 39
785 39
582 38
786 38
361 37
955 37
989 37
296 35
700 35
777 35
369 34
788 34
298 33
554 33
629 33
647 33
365 32
625 32
451 31
553 31
592 31
632 31
783 31
953 31
959 31
555 30
857 30
869 30
899 30
391 29
454 29
645 29
782 29
784 29
958 29
358 28
371 28
399 28
623 28
763 28
157 27
453 27
688 27
961 27
372 26
551 26
762 26
797 26
799 26
985 26
987 26
447 25
484 25
648 25
773 25
872 25
997 25
998 25
151 24
364 24
448 24
524 24
646 24
761 24
776 24
794 24
795 24
863 24
884 24
983 24
557 23
593 23
624 23
889 23
895 23
952 23
984 23
284 22
366 22
392 22
449 22
562 22
599 22
633 22
643 22
653 22
779 22
831 22
854 22
994 22
995 22
154 21
464 21
467 21
585 21
641 21
649 21
654 21
655 21
849 21
283 20
442 20
444 20
468 20
579 20
637 20
764 20
866 20
996 20
446 19
634 19
639 19
644 19
999 19
294 18
295 18
457 18
658 18
792 18
864 18
897 18
986 18
153 17
376 17
382 17
386 17
455 17
461 17
481 17
561 17
584 17
638 17
651 17
862 17
879 17
956 17
152 16
281 16
441 16
572 16
574 16
598 16
694 16
756 16
765 16
852 16
894 16
978 16
993 16
149 15
179 15
287 15
443 15
495 15
